names,numbers,x,y,z
LBF7,2047,-2139.069732110016,-833.2302888454869,-390.24521319335327
LBF8,2048,-1736.1275976998731,-980.0435009896755,-1004.3750593760051
LBG1,2049,-96.60401096334681,-176.96821903530508,-1052.2164449477568
LBG2,2050,-304.8394876504317,-532.2446274477988,-1494.0930417240597
LBG3,2051,-32.54067842895165,-689.3217663951218,-2009.9630414065905
LBG4,2052,-583.4611726468429,-633.6642879582942,-1423.6990977176465
LBG5,2053,-906.8340166211128,-658.0458010844886,-1184.3804019023664
LBG6,2054,-580.7968664471991,-920.0781187172979,-1929.327621377539
LBG7,2055,-964.3413346898742,-1057.3460320448503,-1832.6822868022136
LBG8,2056,-1360.4539997503161,-999.3856241386384,-1375.5946394968778
EDA2,2999,9.313225746154785e-10,-9.313225746154785e-10,-4.656612873077393e-10
