name,number,x,y,z
HH290,290,46.868131725117564,30.200242838123813,94.31319924583659
HH291,291,41.581855275668204,43.81813910952769,94.34585181530565
HH292,292,32.336852309294045,55.91697352472693,87.08674972876906
HH293,293,27.010510341264307,69.51914502051659,87.14497913327068
HH294,294,21.716151353903115,83.133868874982,87.1827915199101
HH295,295,97.92087779380381,-83.20215120934881,104.86337039200589
HH296,296,92.6108207507059,-69.59358653542586,104.91120321443304
HH297,297,87.30073703918606,-55.985032559372485,104.95905311079696
HH298,298,81.99062666203827,-42.37648927909322,105.00692007970065
HH299,299,76.68849210441113,-28.764816085342318,105.04969562543556
HH300,300,71.39433334488422,-15.150012915953994,105.08737974986434
HH301,301,66.10014788527042,-1.535220357356593,105.1250809468329
HH302,302,60.789930794388056,12.073280239244923,105.17301620915532
HH303,303,55.47168457880616,25.678629441419616,105.22607703739777
HH304,304,50.17741905897856,39.29339005588554,105.2638294538483
HH305,305,44.88312683720142,52.90814005606808,105.30159894563258
HH306,306,35.63012174423784,65.00383348809555,98.04760551266372
HH307,307,30.327773683704436,78.61542167235166,98.09051774162799
HH308,308,101.26549891289324,-74.09509369079024,115.77979807788506
HH309,309,95.88340579904616,-60.51479953248054,115.87361558014527
HH310,310,90.59731630794704,-46.89682946866378,115.90614841505885
HH311,311,85.29519509151578,-33.28515118150972,115.94891528179869
HH312,312,79.9850446972996,-19.67662417399697,115.99680769909173
HH313,313,74.69087260961533,-6.061826570890844,116.03450023476034
HH314,314,69.39667381998152,7.552960419096053,116.07220984203741
HH315,315,64.0864433888346,21.16145541984588,116.1201534778811
HH316,316,58.776186290197074,34.76993972156197,116.16811418673024
HH317,317,53.481907431036234,48.384694788372144,116.20587501488626
HH318,318,48.2356165451929,62.018283758778125,116.21300204889849
HH319,319,38.934597046114504,74.09513244801201,108.98965960647911
HB320,320,-99.07025428581983,-299.6025764087681,-348.0309203513898
HB321,321,-148.75453968252987,-162.21059720078483,-339.9144248655066
HB322,322,-202.08864148613065,-26.216495575383306,-339.28692552400753
HB323,323,-255.1933481534943,109.86760781216435,-338.8058852045797
HB324,324,-13.434764771722257,-344.97553620301187,-238.7163933464326
HA325,325,-66.58082239329815,-208.90761483972892,-238.20898257987574
HA326,326,-116.00250468216836,-71.41263387026265,-230.26017672475427
HA327,327,-169.24191431049258,64.61858663265593,-229.6931529813446
HB328,328,-222.54800383094698,200.6236022762023,-229.08354964805767
HB329,329,72.38205931987613,-390.2772930304054,-129.51769391307607
HA330,330,19.173317341133952,-254.2339905272238,-128.97028303937986
HA331,331,-136.47791864257306,155.42117911553942,-120.04663457442075
HB332,332,-189.18518596887589,291.6612087478861,-119.81936154467985
HB333,333,157.78803383745253,-435.74020968703553,-20.056767207104713
HA334,334,104.86071848217398,-299.58650783542544,-19.689032623544335
HA335,335,-103.2445039395243,246.40800934261642,-10.699874181300402
HB336,336,-155.92909880261868,382.6569166833069,-10.487081119790673
HB337,337,190.6494337292388,-344.8992226612754,89.5274855629541
HA338,338,137.6887764884159,-208.75864197406918,89.91649550013244
HA339,339,-25.17591987363994,198.13453365978785,83.80710965907201
HB340,340,-77.8911836091429,334.37138367514126,84.03947692690417
HB341,341,223.5081238169223,-254.05931568262167,199.11339643830433
HA342,342,166.65158805437386,-119.41317517217249,192.17052666610107
HA343,343,113.67892598640174,16.722645573318005,192.56719365296885
HA344,344,60.831633942201734,152.90765769174322,192.8838341999799
HB345,345,8.10170560143888,289.13873015972786,193.12555670039728
HB346,346,252.60574191529304,-164.66093087615445,301.281323811505
HB347,347,199.6824322808534,-28.505760893924162,301.6464747223072
HB348,348,146.86048598773777,107.68917948007584,301.9469264373183
HB349,349,94.14790236856788,243.9270394523628,302.17757079796866
